IMDB Rating,Country,Genres (1st),Production Companies (1st),Year of Release
5.6,United States,Drama,Cheap Date,1991
6.8,Hungary,Comedy,Amour Fou Vienna,2006
5.6,China,Comedy,Huayi Brothers Pictures,2018
5.9,France,Comedy,Ah! Victoria! Films,2005
5.3,Indonesia,Horror,Lingkar Film,2017
5.7,United States,Comedy,Monogram Pictures,1941
5.7,Turkey,Drama,Cem Film,1979
7,United States,Drama,RL Lindland Productions LLC,2003
6.6,United States,Crime,Jaffilms Inc.,1974
7.2,Netherlands,Drama,Horizon Film Productions,1990
5.7,Australia,Drama,FOXTEL,2017
4.9,Netherlands,Drama,ETA Films,2016
4.8,Turkey,Western,Klüp Film,1972
7.4,United States,Documentary,Shirley MacLaine Productions,1975
5.4,United States,Crime,Clearly Ambiguous Productions,2008
5.2,Canada,Crime,Allegro Film Productions III Inc.,1994
5.6,India,Action,Shine Screens,2021
6.2,Egypt,Action,ElSobky Film,2015
6.9,India,Action,Grahalakshmi Productions,1993
7.3,United States,Action,Lionsgate,2010
6.5,United States,Comedy,Summit Entertainment,2008
5.2,Finland,Comedy,Suomi-Filmi,1944
6.3,Belgium,Action,Eyeworks Film & TV Drama,2017
7.1,Russia,Adventure,Kinoslovo,2020
5,France,Drama,M6 Films,1995
3.8,Denmark,Drama,Nimbus Film Productions,2003
6.5,United States,Comedy,WTH Films,2015
5.6,Turkey,Drama,Kadri Film,1966
3.1,United States,Action,Magic Elevator,2015
6.6,Russia,Comedy,Fountain Fund,2008
7.5,United States,Documentary,Future Bliss FIlms,2011
6.2,Venezuela,Drama,Morelba Pacheco,1988
6.4,United States,Drama,Scholastic Productions,1984
7,United States,Documentary,Motto Pictures,2016
5.6,Canada,Drama,Eggplant Picture & Sound,2008
7.9,Mexico,Drama,Sindicato de Trabajadores de la Producción Cinematográfica (STPC),1960
6.6,Sweden,Drama,Produktionsplats Gotland,2016
5.8,United States,Crime,RKO Radio Pictures,1932
6.9,Brazil,Comedy,Vera Cruz Studios,1952
6.3,France,Comedy,Les Films Jean Giono,1960
6.1,United Kingdom,Crime,Bord Scannán na hÉireann / The Irish Film Board,1996
6.1,United Kingdom,Drama,Gainsborough Pictures,1931
6.7,United Kingdom,Comedy,Dormar Productions Limited,1965
5.9,Spain,Crime,Lolafilms,1984
5,Spain,Western,Lester Welch Productions Inc.,1965
5,Sweden,Crime,Nordsvensk Filmunderhållning,2014
4.4,India,Action,Magic Frames,2015
6.5,Germany,Comedy,Claussen Wöbke Putz Filmproduktion,2010
5.6,Poland,Drama,Studio Filmowe im. Karola Irzykowskiego,1984
4.4,Philippines,Action,Viva Films,2022
4,Philippines,Comedy,Regal Entertainment,1988
6,Colombia,Drama,Burning Blue,2015
7.5,United States,Comedy,Kite Hill Pictures,2006
6.5,Mexico,Adventure,Fondo de Inversión y Estímulos al Cine (FIDECINE),2006
6.5,United States,Crime,Universal Pictures,1941
6.5,Spain,Comedy,"""Jorge Griñán",1958
8.6,Philippines,Drama,Viva Films,1999
6.9,India,Crime,Alonsa Films,2022
3.9,United States,Horror,Golden Hawk Entertainment,1990
5.7,France,Comedy,Epithète Films,2018
7.6,Bangladesh,Drama,Raha Communications,2008
6.4,United States,Comedy,Warner Bros.,1986
7,United Kingdom,Biography,Film4,2018
5.5,United States,Action,Thunderhead Productions,1990
5,Poland,Action,Lightcraft,2022
7.6,India,Drama,Nakvetan Films,1952
5.6,India,Comedy,Dharma Productions,2010
6.6,United States,Biography,Twentieth Century Fox,1992
7.4,United States,Action,Paramount Pictures,2015
3.7,United States,Drama,Overflow Entertainment,2015
5.5,Canada,Drama,Agincourt Productions Limited,1971
5.7,Spain,Drama,ECA Films,1957
2.9,United States,Horror,Sterling Entertainment Company,2022
4.6,United Kingdom,Drama,Kill The Sunset Pictures,2014
6.5,United States,Drama,Wrather Productions,1956
5.4,Chile,Comedy,Banco Estado,2008
3.3,Italy,Horror,Mesa Film Productions,1993
5.2,Canada,Action,Atlantic Productions,1987
7.4,United States,Drama,No Hands Productions,2008
4.4,United States,Crime,Alumbra Films,2009
4.3,"Korea, South",Drama,Han Jin Enterprises Company,1981
5,United States,Crime,Whitewater Films,2014
9.2,India,Animation,Nippon Ramayana Film Co.,1993
6.9,United States,Comedy,Paramount Pictures,1988
5.9,France,Drama,Société des Films Roger Richebé,1938
5.9,France,Comedy,Artémis Productions,1996
6,United States,Drama,Metro-Goldwyn-Mayer (MGM),1942
4.8,Spain,Drama,C.E.A.,1941
4.8,Spain,Action,Zodiac Produzioni,1980
7.6,United States,Action,Cinergi Pictures Entertainment,1995
5.2,Peru,Crime,Iguana Producciones,2001
6.5,United States,Drama,Searchlight Pictures,2011
5.2,Spain,Drama,2000 Productions,1979
7,United Kingdom,Adventure,Twentieth Century Fox,2012
6.4,United States,Comedy,CBS Films,2015
6.9,United Kingdom,Comedy,Paragraph Pictures,2012
7.4,"Korea, South",Drama,Prime Entertainment,2006
4,United States,Horror,William Winckler Productions,2005
6.4,Brazil,Documentary,3 Tabela Filmes e Produções Artísticas,2015
4,Philippines,Comedy,Cinema One Originals,2012
5.2,United States,Comedy,Permut Presentations,1996
4.7,India,Action,Karam Jay Productions,1989
7.6,Japan,Drama,Bitters End,2021
4.6,Brazil,Comedy,Filmland International,2013
7.5,India,Drama,Mankind Cinemas,2022
4.9,Australia,Adventure,Sovereign Pictures,1991
5.1,Canada,Animation,Walt Disney Pictures,2021
6.7,United States,Comedy,Samuel Goldwyn Films,2001
4.7,United States,Adventure,BuzzWorm Films,2014
7.3,Czech Republic,Drama,Agencja Produkcji Filmowej,1999
4.4,South Africa,Action,Videovision Entertainment,2014
6.3,Portugal,Biography,Happygénio,2016
6.3,Canada,Drama,Christal Films,2004
4.5,United States,Horror,Bill Rebane Productions,1987
8.7,South Africa,Action,Cyestma Films,1990
4.2,Spain,Comedy,José Truchado P.C.,1972
6.2,Philippines,Comedy,Regal Films,1986
5,United States,Horror,Vestron Pictures,1988
3.6,Turkey,Comedy,Lucky Red Film & TV,2018
6.8,United States,Drama,Chickenhow Productions,2008
5.9,United States,Comedy,Dogstar Films,1999
8.4,India,Comedy,Movie Bees Media,2020
5.9,United States,Action,Universal Pictures,2002
4.2,Canada,Horror,Foresight Features,2015
6.2,United Kingdom,Comedy,Romulus Films,1951
6,United Kingdom,Action,Mann Made Films,2009
8.3,United Kingdom,Crime,Warner Bros.,1971
6.6,Brazil,Drama,LAZ Audiovisual,1999
4,United States,Adventure,Artisan Entertainment,2000
6.3,United States,Drama,RKO Radio Pictures,1947
7.2,United States,Drama,Everest Entertainment,2009
6.4,Slovenia,Drama,Blade Production,2019
3.5,United States,Comedy,Capri Productions (I),1972
4.3,Finland,Comedy,Funny-Films Oy,1981
6,United States,Comedy,Twentieth Century Fox,2011
5.8,Australia,Adventure,Bilcock & Copping Film Productions,1976
4.9,United Kingdom,Comedy,British International Pictures (BIP),1930
6.1,Poland,Action,Skopia Film,2010
5.5,India,Comedy,Studio Green,2018
4,United States,Comedy,Crackle,2017
6.6,United Kingdom,Drama,BBC Film,2022
5.8,Italy,Biography,Pepito Produzioni,2020
5.3,United Kingdom,Drama,Fiesta Productions,2006
6.2,France,Biography,Wy Productions,2014
7.4,Germany,Drama,Deutsche Film- und Fernsehakademie Berlin (DFFB),2006
7.4,India,Action,Sree Lakshmi Prasanna Pictures,1995
5.8,United States,Comedy,Boies Schiller Entertainment,2022
6.9,United Kingdom,Drama,Herbert Wilcox Productions,1950
2.6,Peru,Comedy,Bisa Estrategia Audiovisual,2017
6,Greece,Comedy,Olympus Films,1956
5.7,United States,Action,Walt Disney Pictures,2009
4.4,United States,Crime,Vineyard Haven,2014
6.5,Australia,Drama,Vertigo Productions,2003
6.9,Turkey,Drama,Ankara Filmcilik,2022
7,Japan,Action,Excellent Film,1996
4.9,United States,Drama,King's Mob Productions,2006
4.8,United States,Drama,Cinema Corporation of America (II),1989
6.5,United States,Crime,40 Acres & A Mule Filmworks,1995
4,Turkey,Drama,Er Film,1966
6.2,United Kingdom,Comedy,Pico Pictures,2016
7.7,United States,Action,Darryl F. Zanuck Productions,1962
7.1,Italy,Comedy,A.M.A. Film,1983
5.4,United States,Comedy,Hal Roach Studios,1948
6.8,Italy,Comedy,Rai 1,1987
6.8,United States,Horror,21st Century Film Corporation,1990
6.3,United States,Comedy,Burnside Distribution Company,2000
4.2,United States,Drama,Treage Productions,2016
5.2,United States,Drama,FR Productions,2018
6.2,France,Drama,EuropaCorp,2007
6.8,United States,Drama,Rent Productions LLC,2005
5.5,Egypt,Comedy,Al Ahram,1988
6.9,Hungary,War,Budapest Játékfilmstúdió,1978
6.6,Austria,Animation,Aichholzer Filmproduktion,2021
2.8,Denmark,Crime,Last Exit Productions,2003
5.7,United States,Adventure,Paul Malvern Productions,1941
6.3,United Kingdom,Drama,British International Pictures (BIP),1936
6.9,Switzerland,Comedy,Dschoint Ventschr Filmproduktion AG,2002
5.9,Spain,Drama,Huracán Films,1975
6.1,Spain,Comedy,Asturias Films,1958
7.1,United Kingdom,Comedy,PolyGram Filmed Entertainment,1994
5.7,Italy,Crime,Patria Films,1954
5.8,United States,Action,Larry Darmour Productions,1939
7,Argentina,Drama,13 Conejos,2017
7,United States,Action,Twentieth Century Fox,2015
8.4,United States,Documentary,Roxie Releasing,2014
6.7,United States,Comedy,Artcraft Pictures Corporation,1917
4.7,Poland,Action,Canal+ Polska,2021
6.2,India,Comedy,1-800-Love,2010
8.1,United States,Comedy,The Studios at Las Colinas,2010
6.4,Finland,Family,Neofilmi,1986
4.7,Germany,Comedy,Movie Company Film und Fernseh,2010
6.6,United States,Comedy,Roadside Attractions,2009
8.1,Puerto Rico,Drama,Producciones Imago,1999
4.4,United States,Adventure,C.C. Burr Productions,1936
3.7,Australia,Action,F.G. Film Productions,2014
6.7,Mexico,Musical,Producciónes Grovas,1942
5.6,Italy,Comedy,Taro Film,1973
8.6,United States,Drama,Buried Child Productions,2022
6.5,Cuba,Drama,Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC),1976
3.9,United States,Horror,American Independent Productions,1987
3.8,Greece,Drama,Akropolis Film,1962
5,Canada,Comedy,Park Ex Pictures,2011
